,,,,," 19,388,231.64 ",
Invoice Date,Supplier Name,Supplier Country,Taxable basis,Currency,Tax to pay,Runing Total
20190731,CEBI LUXEMBOURG SA,Luxembourg,2526.18,EUR,884.16,82844.35
20190731,CEBI LUXEMBOURG SA,Luxembourg,1657.14,EUR,580,83424.35
20190731,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,83617.68
20190830,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,83811.01
20190830,CEBI LUXEMBOURG SA,Luxembourg,1224.04,EUR,428.41,84239.42
20190830,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,85012.75
20190830,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,85206.08
20190830,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,85449.61
20190830,CEBI LUXEMBOURG SA,Luxembourg,477.12,EUR,166.99,85616.6
20190830,CEBI LUXEMBOURG SA,Luxembourg,204.48,EUR,71.57,85688.17
20190830,CEBI LUXEMBOURG SA,Luxembourg,178.92,EUR,62.62,85750.79
20190830,CEBI LUXEMBOURG SA,Luxembourg,342.22,EUR,119.78,85870.57
20190830,CEBI LUXEMBOURG SA,Luxembourg,387.66,EUR,135.68,86006.25
20190830,CEBI LUXEMBOURG SA,Luxembourg,667.4,EUR,233.59,86239.84
20190830,CEBI LUXEMBOURG SA,Luxembourg,222.94,EUR,78.03,86317.87
20190830,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,86408.82
20190830,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,86590.72
20190830,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,86772.62
20190830,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,86863.57
20190830,CEBI LUXEMBOURG SA,Luxembourg,1039.44,EUR,363.8,87227.37
20190830,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,87420.7
20190830,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,87664.23
20190830,CEBI LUXEMBOURG SA,Luxembourg,1043.7,EUR,365.3,88029.53
20190830,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,88211.43
20190830,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,88454.96
20190830,CEBI LUXEMBOURG SA,Luxembourg,1448.4,EUR,506.94,88961.9
20190830,CEBI LUXEMBOURG SA,Luxembourg,458.87,EUR,160.6,89122.5
20190830,CEBI LUXEMBOURG SA,Luxembourg,1367.46,EUR,478.61,89601.11
20190830,CEBI LUXEMBOURG SA,Luxembourg,450.14,EUR,157.55,89758.66
20190830,CEBI LUXEMBOURG SA,Luxembourg,261.28,EUR,91.45,89850.11
20190830,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,90623.44
20190830,CEBI LUXEMBOURG SA,Luxembourg,231.46,EUR,81.01,90704.45
20190830,CEBI LUXEMBOURG SA,Luxembourg,572.26,EUR,200.29,90904.74
20190830,CEBI LUXEMBOURG SA,Luxembourg,352.16,EUR,123.26,91028
20190830,CEBI LUXEMBOURG SA,Luxembourg,1739.5,EUR,608.82,91636.82
20190930,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,91727.77
20190930,CEBI LUXEMBOURG SA,Luxembourg,779.58,EUR,272.85,92000.62
20190930,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,92773.95
20190930,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,93547.28
20190930,CEBI LUXEMBOURG SA,Luxembourg,1043.7,EUR,365.3,93912.58
20190930,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,94132.25
20190930,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,94351.92
20190930,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,94571.59
20190930,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,94791.26
20190930,CEBI LUXEMBOURG SA,Luxembourg,1255.28,EUR,439.35,95230.61
20190930,CEBI LUXEMBOURG SA,Luxembourg,627.64,EUR,219.67,95450.28
20190930,CEBI LUXEMBOURG SA,Luxembourg,2087.4,EUR,730.59,96180.87
